"Size","Range","Sorter","Time"
10000,"0:10000000","QuickBitSorterInt",0
10000,"0:10000000","RadixBitSorterInt",0
10000,"0:10000000","RadixByteSorterInt",0
10000,"0:10000000","JavaParallelSorterInt",0
10000,"0:10000000","QuickBitSorterMTInt",1
10000,"0:10000000","MixedBitSorterMTInt",1
10000,"0:10000000","RadixBitSorterMTInt",1
100000,"0:10000000","JavaSorterInt",5
100000,"0:10000000","QuickBitSorterInt",5
100000,"0:10000000","RadixBitSorterInt",0
100000,"0:10000000","RadixByteSorterInt",1
100000,"0:10000000","JavaParallelSorterInt",1
100000,"0:10000000","QuickBitSorterMTInt",5
100000,"0:10000000","MixedBitSorterMTInt",3
100000,"0:10000000","RadixBitSorterMTInt",1
1000000,"0:10000000","JavaSorterInt",63
1000000,"0:10000000","QuickBitSorterInt",36
1000000,"0:10000000","RadixBitSorterInt",9
1000000,"0:10000000","RadixByteSorterInt",17
1000000,"0:10000000","JavaParallelSorterInt",8
1000000,"0:10000000","QuickBitSorterMTInt",15
1000000,"0:10000000","MixedBitSorterMTInt",16
1000000,"0:10000000","RadixBitSorterMTInt",8
10000000,"0:10000000","JavaSorterInt",739
10000000,"0:10000000","QuickBitSorterInt",356
10000000,"0:10000000","RadixBitSorterInt",111
10000000,"0:10000000","RadixByteSorterInt",184
10000000,"0:10000000","JavaParallelSorterInt",91
10000000,"0:10000000","QuickBitSorterMTInt",107
10000000,"0:10000000","MixedBitSorterMTInt",99
10000000,"0:10000000","RadixBitSorterMTInt",92
40000000,"0:10000000","JavaSorterInt",3162
40000000,"0:10000000","QuickBitSorterInt",1375
40000000,"0:10000000","RadixBitSorterInt",515
40000000,"0:10000000","RadixByteSorterInt",745
40000000,"0:10000000","JavaParallelSorterInt",382
40000000,"0:10000000","QuickBitSorterMTInt",415
40000000,"0:10000000","MixedBitSorterMTInt",388
40000000,"0:10000000","RadixBitSorterMTInt",376
10000,"0:1000000000","JavaSorterInt",0
10000,"0:1000000000","QuickBitSorterInt",0
10000,"0:1000000000","RadixBitSorterInt",0
10000,"0:1000000000","RadixByteSorterInt",0
10000,"0:1000000000","JavaParallelSorterInt",0
10000,"0:1000000000","QuickBitSorterMTInt",1
10000,"0:1000000000","MixedBitSorterMTInt",2
10000,"0:1000000000","RadixBitSorterMTInt",1
100000,"0:1000000000","JavaSorterInt",5
100000,"0:1000000000","QuickBitSorterInt",9
100000,"0:1000000000","RadixBitSorterInt",0
100000,"0:1000000000","RadixByteSorterInt",1
100000,"0:1000000000","JavaParallelSorterInt",1
100000,"0:1000000000","QuickBitSorterMTInt",4
100000,"0:1000000000","MixedBitSorterMTInt",3
100000,"0:1000000000","RadixBitSorterMTInt",2
1000000,"0:1000000000","JavaSorterInt",64
1000000,"0:1000000000","QuickBitSorterInt",124
1000000,"0:1000000000","RadixBitSorterInt",14
1000000,"0:1000000000","RadixByteSorterInt",16
1000000,"0:1000000000","JavaParallelSorterInt",8
1000000,"0:1000000000","QuickBitSorterMTInt",33
1000000,"0:1000000000","MixedBitSorterMTInt",18
1000000,"0:1000000000","RadixBitSorterMTInt",9
10000000,"0:1000000000","JavaSorterInt",740
10000000,"0:1000000000","QuickBitSorterInt",834
10000000,"0:1000000000","RadixBitSorterInt",157
10000000,"0:1000000000","RadixByteSorterInt",165
10000000,"0:1000000000","JavaParallelSorterInt",90
10000000,"0:1000000000","QuickBitSorterMTInt",258
10000000,"0:1000000000","MixedBitSorterMTInt",162
10000000,"0:1000000000","RadixBitSorterMTInt",98
40000000,"0:1000000000","JavaSorterInt",3217
40000000,"0:1000000000","QuickBitSorterInt",2895
40000000,"0:1000000000","RadixBitSorterInt",693
40000000,"0:1000000000","RadixByteSorterInt",676
40000000,"0:1000000000","JavaParallelSorterInt",393
40000000,"0:1000000000","QuickBitSorterMTInt",677
40000000,"0:1000000000","MixedBitSorterMTInt",655
40000000,"0:1000000000","RadixBitSorterMTInt",415
